iter	Passed	Remaining
0	1	1005
1	1	675
2	1	563
3	2	515
4	2	474
5	3	508
6	3	506
7	3	478
8	4	461
9	4	439
10	4	419
11	4	402
12	5	387
13	5	375
14	5	370
15	5	361
16	6	400
17	7	396
18	7	396
19	7	390
20	8	389
21	8	384
22	9	383
23	9	381
24	9	383
25	10	383
26	10	381
27	10	380
28	11	378
29	11	376
30	12	379
31	12	377
32	12	377
33	13	378
34	13	380
35	14	378
36	14	376
37	14	377
38	15	375
39	15	372
40	15	370
41	16	368
42	16	369
43	16	368
44	17	368
45	17	366
46	18	366
47	18	365
48	18	366
49	19	365
50	19	364
51	19	363
52	20	363
53	20	361
54	21	366
55	21	363
56	21	362
57	22	360
58	22	360
59	23	360
60	23	360
61	23	359
62	24	360
63	24	360
64	24	359
65	25	357
66	25	357
67	25	355
68	26	354
69	26	353
70	27	353
71	27	352
72	27	351
73	27	349
74	28	347
75	28	346
76	28	345
77	29	346
78	29	346
79	30	348
80	30	346
81	30	346
82	31	345
83	31	345
84	32	345
85	32	344
86	32	343
87	33	343
88	33	343
89	33	343
90	34	344
91	34	343
92	35	342
93	35	341
94	35	340
95	36	339
96	36	340
97	36	339
98	37	340
99	37	339
100	38	339
101	38	339
102	39	340
103	39	340
104	39	340
105	40	341
106	40	340
107	41	340
108	41	340
109	42	340
110	42	339
111	42	338
112	43	338
113	43	337
114	43	337
115	44	337
116	44	337
117	45	342
118	46	342
119	48	352
120	48	351
121	48	352
122	49	351
123	49	350
124	50	350
125	50	349
126	50	348
127	51	348
128	51	348
129	52	349
130	52	349
131	53	349
132	53	348
133	53	346
134	54	346
135	54	345
136	54	344
137	55	343
138	55	343
139	55	343
140	56	342
141	56	341
142	56	340
143	57	339
144	57	338
145	57	336
146	57	336
147	58	336
148	58	335
149	59	338
150	60	338
151	60	337
152	60	336
153	61	336
154	62	339
155	62	339
156	63	338
157	63	337
158	63	337
159	64	336
160	64	335
161	64	334
162	65	336
163	65	336
164	66	335
165	66	336
166	67	335
167	67	334
168	67	333
169	68	333
170	68	333
171	69	332
172	69	331
173	69	331
174	70	330
175	70	330
176	71	330
177	71	329
178	71	328
179	72	328
180	72	327
181	72	326
182	73	326
183	73	325
184	73	325
185	74	325
186	74	324
187	75	324
188	75	323
189	75	322
190	76	322
191	76	322
192	77	322
193	77	322
194	77	321
195	78	320
196	78	319
197	79	322
198	80	322
199	80	321
200	80	321
201	81	321
202	81	320
203	82	320
204	82	320
205	83	320
206	83	320
207	84	322
208	85	322
209	85	321
210	85	321
211	86	321
212	86	320
213	87	319
214	87	319
215	87	318
216	88	318
217	88	318
218	88	317
219	89	316
220	89	316
221	90	315
222	90	314
223	90	314
224	91	314
225	91	313
226	91	313
227	92	312
228	92	311
229	92	311
230	93	310
231	93	310
232	94	310
233	94	309
234	94	308
235	95	308
236	95	308
237	96	307
238	96	307
239	96	306
240	97	305
241	97	305
